objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-139641353896	0	object/static/item/item_star_destroyer_starfield_box.iff	0	499.311	506.93791	993.73	1	0	0	0		$|
-139641353895	0	object/building/general/space_dungeon_star_destroyer.iff	0	500.624	625	741.579	1	0	0	0	theme_park.heroic.scorekeeper.sd_controller:systems.instance.instance_manager:systems.dungeon_sequencer.sequence_controller:structure.municipal.cloning_facility	instance.data_table|4|datatables/spawning/heroic/heroic_scorekeeper.iff|instance_name|4|heroic_scorekeeper|portalProperty.crc|0|-143314620696|travel.point_name|4|CLAW|$|
-139641353894	-708948637	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-139641353893	-708948637	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-139641353892	-708948637	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-139641353891	-708948637	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-139641353890	-708948637	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-139641353889	-24202190	object/tangible/collection/dwartii_statue_sistros.iff	5	6.15478	170.772	391.014	0.921061	0	0.389418	0	systems.collections.consume_click	collection.slotName|4|col_dwartii_statue:dwartii_statue_sistros|$|
-139641353888	-708948637	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-139641353887	-708948637	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-139641353886	-708948637	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-139641353885	-708948637	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-139641353884	-708948637	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-139641353883	-708948637	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-139641353882	-708948637	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
-139641353881	-708948637	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
-139641353880	-708948637	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
-139641353879	-856609890	object/tangible/collection/dwartii_statue_yanjon.iff	14	13.1372	192.335	196.819	0.898261	0	-0.439463	0	systems.collections.consume_click	collection.slotName|4|col_dwartii_statue:dwartii_statue_yanjon|$|
-139641353878	-708948637	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
-139641353877	-708948637	object/cell/cell.iff	16	0	0	0	1	0	0	0		$|
-139641353876	-708948637	object/cell/cell.iff	17	0	0	0	1	0	0	0		$|
-139641353875	-708948637	object/cell/cell.iff	18	0	0	0	1	0	0	0		$|
-139641353874	-708948637	object/cell/cell.iff	19	0	0	0	1	0	0	0		$|
-139641353873	-708948637	object/cell/cell.iff	20	0	0	0	1	0	0	0		$|
-139641353872	-708948637	object/cell/cell.iff	21	0	0	0	1	0	0	0		$|
-139641353871	-708948637	object/cell/cell.iff	22	0	0	0	1	0	0	0		$|
-139641353870	-708948637	object/cell/cell.iff	23	0	0	0	1	0	0	0		$|
-139641353869	-708948637	object/cell/cell.iff	24	0	0	0	1	0	0	0		$|
-139641353868	-708948637	object/cell/cell.iff	25	0	0	0	1	0	0	0		$|
-139641353867	-708948637	object/cell/cell.iff	26	0	0	0	1	0	0	0		$|
-139641353866	-708948637	object/cell/cell.iff	27	0	0	0	1	0	0	0		$|
-139641353865	-708948637	object/cell/cell.iff	28	0	0	0	1	0	0	0		$|
-139641353864	-708948637	object/cell/cell.iff	29	0	0	0	1	0	0	0		$|
-139641353863	-1349786614	object/tangible/collection/dwartii_statue_braata.iff	29	11.5056	175.335	-30.4166	-0.362358	0	0.932039	0	systems.collections.consume_click	collection.slotName|4|col_dwartii_statue:dwartii_statue_braata|$|
-139641353862	-708948637	object/cell/cell.iff	30	0	0	0	1	0	0	0		$|
-139641353861	-708948637	object/cell/cell.iff	31	0	0	0	1	0	0	0		$|
-139641353860	-708948637	object/cell/cell.iff	32	0	0	0	1	0	0	0		$|
-139641353859	-708948637	object/cell/cell.iff	33	0	0	0	1	0	0	0		$|
-139641353858	-708948637	object/cell/cell.iff	34	0	0	0	1	0	0	0		$|
-139641353857	-708948637	object/cell/cell.iff	35	0	0	0	1	0	0	0		$|
-139641353856	-708948637	object/cell/cell.iff	36	0	0	0	1	0	0	0		$|
-139641353855	-708948637	object/cell/cell.iff	37	0	0	0	1	0	0	0		$|
-139641353854	-708948637	object/cell/cell.iff	38	0	0	0	1	0	0	0		$|
-139641353853	-708948637	object/cell/cell.iff	39	0	0	0	1	0	0	0		$|
-139641353852	-708948637	object/cell/cell.iff	40	0	0	0	1	0	0	0		$|
-139641353851	-708948637	object/cell/cell.iff	41	0	0	0	1	0	0	0		$|
-139641353850	-708948637	object/cell/cell.iff	42	0	0	0	1	0	0	0		$|
-139641353849	-708948637	object/cell/cell.iff	43	0	0	0	1	0	0	0		$|
-139641353848	-708948637	object/cell/cell.iff	44	0	0	0	1	0	0	0		$|
-139641353847	-708948637	object/cell/cell.iff	45	0	0	0	1	0	0	0		$|
-139641353846	-708948637	object/cell/cell.iff	46	0	0	0	1	0	0	0		$|
-139641353845	-708948637	object/cell/cell.iff	47	0	0	0	1	0	0	0		$|
-139641353844	-708948637	object/cell/cell.iff	48	0	0	0	1	0	0	0		$|
-139641353843	-708948637	object/cell/cell.iff	49	0	0	0	1	0	0	0		$|
-139641353842	-708948637	object/cell/cell.iff	50	0	0	0	1	0	0	0		$|
-139641353841	-708948637	object/cell/cell.iff	51	0	0	0	1	0	0	0		$|
-139641353840	-708948637	object/cell/cell.iff	52	0	0	0	1	0	0	0		$|
-139641353839	-708948637	object/cell/cell.iff	53	0	0	0	1	0	0	0		$|
-139641353838	-708948637	object/cell/cell.iff	54	0	0	0	1	0	0	0		$|
-139641353837	-708948637	object/cell/cell.iff	55	0	0	0	1	0	0	0		$|
-139641353836	-708948637	object/cell/cell.iff	56	0	0	0	1	0	0	0		$|
-139641353835	-708948637	object/cell/cell.iff	57	0	0	0	1	0	0	0		$|
-139641353834	-708948637	object/cell/cell.iff	58	0	0	0	1	0	0	0		$|
-139641353833	0	object/ship/star_destroyer_bridge_exterior.iff	0	500.722	1079.397	1071.42	1	0	0	0	structure.filler.filler	$|
