item	cash	token0	token1	token2	token3	token4	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_booster_pack	5000								theme_park.dathomir.aurilia.aurilia_buff_vendor	token0 = akxva min, token1 = tusken, token2 = IG88, token3 = star destroyer, token4 = exar kun, token5 = echo base
item_pgc_booster_pack_goto	5000								theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_pgc_booster_pack_comm	5000								theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_01							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_02							20		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_03							30		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_00							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_01							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_02							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_03							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_04							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_05							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_06							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_07							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_08							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_09							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_10							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_11							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_12							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_13							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_14							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_15							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_16							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_17							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_18							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_19							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_20							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_21							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_22							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_23							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_24							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_25							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_26							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_27							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_28							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_29							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_color_crystal_02_30							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_crystal_tyranus_cunning_01							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_crystal_allyas_exile_01							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_crystal_allyas_redemption_01							10		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_padawan_04_01							100		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_light_03_03							200		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_04_03							300		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_04_01							400		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_06_01							500		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_06_05							600		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_light_04_05							700		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_light_04_04							800		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_dark_03_03							200		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_04_04							300		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_04_02							400		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_06_02							500		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_06_06							600		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_dark_04_04							700		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_jedi_robe_dark_04_05							800		theme_park.dathomir.aurilia.aurilia_buff_vendor	
