item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_cs_dna_acklay	1000000								
item_cs_dna_mutated_acklay	1000000								
item_cs_dna_mutated_griffon	1000000								
item_cs_dna_katarn	1000000								
item_cs_dna_kimogila	1000000								
item_cs_dna_kkorrwrot	1000000								
item_monkey_lizard_dna	1000000								
item_cs_dna_krayt	1000000								
item_cs_dna_kubaza_beetle	1000000								
item_mutated_malkloc_dna	1000000								
item_dna_minstyngar	1000000								
item_cs_dna_mooc	1000000								
item_cs_dna_sher_kar	1000000								
item_cs_dna_nexu	1000000								
item_pangrack_dna	1000000								
item_cs_dna_mutated_jax	1000000								
item_razor_angler_dna	1000000								
item_cs_dna_reek	1000000								
item_cs_dna_mutated_reek	1000000								
item_forage_worm_dna	1000000								
item_dna_worm	1000000								
item_costume_wampa	1000000								
item_costume_rancor	1000000								
item_costume_mynock	1000000								
item_scorpion_kliknik_dna	1000000								
item_cs_dna_mutated_bol	1000000								
item_spiderclan_consort_dna	1000000								
item_spiderclan_queen_dna	1000000								
item_cs_dna_spiketail_blurrg	1000000								
item_cs_dna_mutated_rancor	1000000								
item_cs_dna_mutated_kimogila	1000000								
item_cs_dna_tauntaun	1000000								
item_cs_dna_tauntaun_armor	1000000								
item_cs_dna_mutated_bolle_bol	1000000								
item_cs_dna_mutated_thune	1000000								
item_cs_dna_uwari_beetle	1000000								
item_cs_dna_mutated_varasquactyl	1000000								
item_cs_dna_wampa	1000000								
item_dna_webweaver	1000000								
item_cs_dna_mutated_hermit_spider	1000000								
item_cs_dna_mutated_quenker	1000000								
item_barbed_quenker_dna	1000000								
item_bane_back_dna	1000000								
item_cs_dna_bantha_armor	1000000								
item_binjiinphant_dna	1000000								
item_blackwing_rancor_dna	1000000								
item_cs_dna_mutated_boar	1000000								
item_cs_dna_mutated_borgax	1000000								
item_cs_dna_mutated_chuba_fly	1000000								
item_cs_dna_mutated_cu_pa	1000000								
item_cs_dna_mutated_narglatch	1000000								
item_cs_dna_mutated_slice_hound	1000000								
