item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_cs_dna_acklay	10000000								
item_cs_dna_mutated_acklay	10000000								
item_cs_dna_mutated_griffon	10000000								
item_cs_dna_katarn	10000000								
item_cs_dna_kimogila	10000000								
item_cs_dna_kkorrwrot	10000000								
item_monkey_lizard_dna	10000000								
item_cs_dna_krayt	10000000								
item_cs_dna_kubaza_beetle	10000000								
item_mutated_malkloc_dna	10000000								
item_dna_minstyngar	10000000								
item_cs_dna_mooc	10000000								
item_cs_dna_sher_kar	10000000								
item_cs_dna_nexu	10000000								
item_pangrack_dna	10000000								
item_cs_dna_mutated_jax	10000000								
item_razor_angler_dna	10000000								
item_cs_dna_reek	10000000								
item_cs_dna_mutated_reek	10000000								
item_dna_worm	10000000								
item_scorpion_kliknik_dna	10000000								
item_cs_dna_mutated_bol	10000000								
item_spiderclan_consort_dna	10000000								
item_spiderclan_queen_dna	10000000								
item_cs_dna_spiketail_blurrg	10000000								
item_cs_dna_mutated_rancor	10000000								
item_cs_dna_mutated_kimogila	10000000								
item_cs_dna_tauntaun	10000000								
item_cs_dna_tauntaun_armor	10000000								
item_cs_dna_mutated_bolle_bol	10000000								
item_cs_dna_mutated_thune	10000000								
item_cs_dna_uwari_beetle	10000000								
item_cs_dna_mutated_varasquactyl	10000000								
item_cs_dna_wampa	10000000								
item_dna_webweaver	10000000								
item_cs_dna_mutated_hermit_spider	10000000								
item_cs_dna_mutated_quenker	10000000								
item_barbed_quenker_dna	10000000								
item_bane_back_dna	10000000								
item_cs_dna_bantha_armor	10000000								
item_binjiinphant_dna	10000000								
item_blackwing_rancor_dna	10000000								
item_cs_dna_mutated_boar	10000000								
item_cs_dna_mutated_borgax	10000000								
item_cs_dna_mutated_chuba_fly	10000000								
item_cs_dna_mutated_cu_pa	10000000								
item_cs_dna_mutated_narglatch	10000000								
item_cs_dna_mutated_slice_hound	10000000								
