item	cash	token0	token1	token2	token3	token4	token5	token6	token7	token8	token9	token10	token11	token12	token13	token14	token15	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
rare_loot_chest_quality_1																		1			
rare_loot_chest_quality_2																		5	0		
rare_loot_chest_quality_3																		10	0		
item_pgc_token_02																16					
item_pgc_token_03																	1000				
item_pgc_token_03		4																			
item_pgc_token_03			4																		
item_pgc_token_03				4																	
item_pgc_token_03					4																
item_pgc_token_03						4															
item_pgc_token_03							4														
item_pgc_token_03								4													
item_pgc_token_03									4												
item_pgc_token_03										4											
item_pgc_token_03											4										
item_pgc_token_03												4									
item_pgc_token_03													4								
item_pgc_token_03														4							
item_pgc_token_03															4						
