item	cash	token0	token1	token2	token14	token15	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_02					16					
item_pgc_token_03						1000				
item_pgc_token_03				4						
item_pgc_planet_hologram_lok	100000									
item_pgc_planet_hologram_lok_02	100000									
item_tcg_loot_reward_series1_nuna_ball_advertisement	10000									
item_tcg_loot_reward_series5_creature_pet_deed_scurrier_02_01							1			
item_dianoga_dumpster							1			
item_event_dance_party_device_03_01	10000									
item_event_dance_party_device_03_02	10000									
item_event_energy_drink_01_02	4500									
item_event_air_cake_01_02	4500									
