item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series9_lepese_dictionary						5	0		"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
item_tcg_loot_reward_series1_sith_speeder						5	0		"So in the case of this table only traders will see the ""all"" items."
item_tcg_loot_reward_series3_sith_meditation_room_deed						20	0		token0 is Axvia Minn
item_tcg_loot_reward_series3_jedi_meditation_room_deed						20	0		token1 is Tusken
item_schematic_pvp_gcw_saber_1h_gen4						100	0		token2 is IG88
item_schematic_pvp_gcw_saber_2h_gen4						100	0		
item_schematic_pvp_bf_saber_03_01						100	0		
item_schematic_pvp_bf_saber_03_02						100	0		
item_schematic_pvp_bf_saber_03_03						100	0		
item_holocron_06_01						100	0		
item_holocron_06_02						100	0		
item_holocron_06_03						100	0		
item_holocron_06_04						100	0		
item_holocron_06_05						100	0		
item_holocron_06_06						100	0		
item_holocron_06_07						100	0		
item_holocron_06_08						100	0		
item_collection_jedi_holocron_01_01						100	0		
item_collection_jedi_holocron_01_02						100	0		
item_collection_jedi_holocron_01_03						100	0		
item_collection_jedi_holocron_01_04						100	0		
item_collection_jedi_holocron_01_05						100	0		
item_collection_jedi_holocron_02_01						100	0		
item_collection_jedi_holocron_02_02						100	0		
item_collection_jedi_holocron_02_03						100	0		
item_collection_jedi_holocron_02_04						100	0		
item_collection_jedi_holocron_02_05						100	0		
item_collection_sith_holocron_01_01						100	0		
item_collection_sith_holocron_01_02						100	0		
item_collection_sith_holocron_01_03						100	0		
item_collection_sith_holocron_01_04						100	0		
item_collection_sith_holocron_01_05						100	0		
item_collection_sith_holocron_02_01						100	0		
item_collection_sith_holocron_02_02						100	0		
item_collection_sith_holocron_02_03						100	0		
item_collection_sith_holocron_02_04						100	0		
item_collection_sith_holocron_02_05						100	0		
item_beast_holocron_04_01						100	0		
item_beast_holocron_04_02						100	0		
item_beast_holocron_04_03						100	0		
item_beast_holocron_04_04						100	0		
item_beast_holocron_04_05						100	0		
item_beast_holocron_04_06						100	0		
item_beast_holocron_04_07						100	0		
item_beast_holocron_04_09						100	0		
item_beast_holocron_04_10						100	0		
object/tangible/jedi/no_drop_jedi_holocron_light.iff						100	0		
object/tangible/jedi/no_drop_jedi_holocron_dark.iff						100	0		
item_tow_holocron_ab_immune_02_01						100	0		
item_treasure_map_bonus_buff_04_01						100	0		
item_treasure_map_bonus_buff_04_02						100	0		
item_treasure_map_bonus_buff_04_03						100	0		
item_treasure_map_bonus_buff_04_04						100	0		
item_treasure_map_bonus_buff_04_05						100	0		
item_treasure_map_bonus_buff_04_06						100	0		
item_hologram_aotc_cybernetic_arm						1	0		
item_tcg_loot_reward_series6_jedi_council_diorama						1	0		
item_tcg_loot_reward_series3_darth_vader_obi_wan_diorama						1	0		
item_tcg_loot_reward_series8_vader_pod						1	0		
item_tcg_loot_reward_series5_vader_statuette						1	0		
item_vet_reward_72month_mace_windu						1	0		
item_vet_reward_72month_darth_maul						1	0		
item_vet_66_month_jedi_temple						1	0		
item_vet_66_month_jedi_temple_burning						1	0		
object/tangible/veteran_reward/frn_vet_emp_chair.iff						1	0		
item_tcg_loot_reward_series5_painting_jedi_techniques						1	0		
item_tcg_loot_reward_series1_painting_jedi_crest						1	0		
object/tangible/veteran_reward/frn_vet_holo_yoda.iff						1	0		
