item	cash	token0	token1	token16	token17	token18	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_03					1000				
item_pgc_token_03						1000			
item_roadmap_deed_speederbike_01_02				1					
item_tcg_loot_reward_series7_atpt_walker				1					
item_deed_atxt_walker				5					
item_deed_atst_walker				5					
item_tcg_loot_reward_series7_build01_tie_canopy				5					
item_tcg_loot_reward_series7_build02_xwing_wing				5					
item_tcg_loot_reward_series7_build03_gunship_blueprint				5					
item_tcg_loot_reward_series7_build04_broken_ball_turret				5					
item_deed_tie_fighter				999999					
