item	cash	token0	token1	token2	token3	token14	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_01	100000								
object/tangible/ship/components/weapon/wpn_sds_imperial_blaster_1.iff	1000								
object/tangible/ship/components/booster/bst_sfs_imperial_1.iff	1000								
object/tangible/ship/components/weapon_capacitor/cap_rss_imperial_1.iff	1000								
object/tangible/ship/components/engine/eng_sds_imperial_1.iff	1000								
object/tangible/ship/components/reactor/rct_seinar_level1.iff	1000								
object/tangible/ship/components/shield_generator/shd_cygnus_mk1.iff	1000								
object/tangible/ship/components/droid_interface/ddi_rss_imperial_1.iff	1000								
item_tcg_loot_reward_series8_c3po_backpack						40			
item_costume_jawa	100								
