item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_03			4						
item_pgc_planet_hologram_tatooine						1			
item_pgc_planet_hologram_tatooine_02						1			
item_tcg_loot_reward_series2_mandalorian_strongbox	30000								
object/tangible/loot/dungeon/death_watch_bunker/art_crate.iff						1			
item_tcg_loot_reward_series6_ric_920_speeder						1			
item_tcg_loot_reward_series5_air2_swoop_speeder						1			
item_tcg_loot_reward_series8_slave_1_itv_01			100						
object/tangible/veteran_reward/city_flag_kit.iff						1			
item_publish_gift_27_04_01						1			
item_tcg_loot_reward_series4_generic_rug_02_01						1			
item_tcg_loot_reward_series3_mandalorian_skull_banner						1			
item_tcg_loot_reward_series3_boba_fett_statue						1			
item_tcg_loot_reward_series3_merr_sonn_jt12_jetpack_blueprints						1			
object/tangible/loot/dungeon/death_watch_bunker/jetpack_base.iff			4						
object/tangible/loot/dungeon/death_watch_bunker/emulsion_protection.iff			4						
object/tangible/loot/dungeon/death_watch_bunker/binary_liquid.iff			4						
object/tangible/dungeon/death_watch_bunker/passkey_hall.iff						1			
object/tangible/dungeon/death_watch_bunker/passkey_mine.iff						1			
object/tangible/dungeon/death_watch_bunker/passkey_storage.iff						1			
object/tangible/veteran_reward/frn_vet_carbonite_gungan.iff						1			
object/tangible/veteran_reward/frn_vet_carbonite_ugnaught.iff						1			
object/tangible/veteran_reward/frn_vet_carbonite_geonosian.iff						1			
item_tcg_loot_reward_series5_galactic_hunters_poster						1			
item_tcg_loot_reward_series9_fett						1			
item_tcg_loot_reward_series9_mando						1			
item_armor_recolor_kit_schematic_01						1			
