item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_03	500000								
item_tcg_loot_reward_series5_air2_swoop_speeder						1			
object/tangible/wearables/goggles/goggles_anniversary.iff	100								
object/tangible/wearables/goggles/goggles_s01.iff	100								
object/tangible/wearables/goggles/goggles_s02.iff	100								
object/tangible/wearables/goggles/goggles_s03.iff	100								
object/tangible/wearables/goggles/goggles_s04.iff	100								
object/tangible/wearables/goggles/goggles_s05.iff	100								
object/tangible/wearables/goggles/goggles_s06.iff	100								
item_content_veh_custom_kit_02_01	100								
item_vet_exp_buff_item_03_01	100								
item_reward_buddy_xp_chip_06_01	100								
item_hologram_aotc_cybernetic_arm						1			
cybernetic_anakin_forearm_02_01	5000								
item_tcg_loot_reward_series5_cybernetic_rots_arm						1			
cyborg_headband_reward_recon_01						1			
cyborg_headband_reward_assault_01						1			
cyborg_headband_reward_battle_01						1			
cyborg_headband_reward_clothing_01						1			
item_tcg_loot_reward_series7_deed_vehicle_garage	100000								
