strItemType	comments
s	s
item_force_crystal_04_01	Biological Focus Crystal
item_force_crystal_04_02	Synapse Focus Crystal
item_costume_dug	Dug Costume Instructions
item_publish_gift_27_04_01	Concentrated Bacta Tank
item_color_crystal_02_29	Sunrider's Destiny
object/tangible/wearables/armor/nightsister/armor_nightsister_bicep_r_s01.iff	Nightsister Melee Armguard
object/tangible/jedi/no_drop_jedi_holocron_light.iff	Holocron
object/tangible/jedi/no_drop_jedi_holocron_dark.iff	Sith Holocron
item_crystal_tyranus_cunning_01	Cunning of Tyranus
item_jedi_robe_06_01	Jedi Master Cloak (Brown)
item_jedi_robe_06_02	Jedi Master Cloak (Black)
item_tow_decor_jedi_relic_02_03	Jedi Relic
item_tow_crystal_uber_05_01	Shard of Ferocity
item_tow_crystal_uber_05_02	Shard of Retaliation
item_tow_holocron_ab_immune_02_01	Sith Holocron
item_tow_decor_sith_relic_02_01	Sith Relic
item_color_crystal_02_16	Bane's Heart
item_tow_schematic_jedi_statue_02_01	Schematic: Jedi Statue
item_power_crystal_04_21	Perfect Power Crystal
item_pgc_token_03	Gold token
