tusken_normal	tusken_elite
s	s
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_boss
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_boss
cash_loot/npc_cash_loot_31_40	specific_npc/tusken:tusken_high
cash_loot/npc_cash_loot_31_40	specific_npc/tusken:tusken_high
cash_loot/npc_cash_loot_31_40	specific_npc/tusken:tusken_high
cash_loot/npc_cash_loot_31_40	specific_npc/tusken:tusken_high
wearables/dynamic_clothing_standard	specific_npc/tusken:tusken_high
wearables/dynamic_clothing_standard	
weapons/dynamic_simple	
collectible/npc_collectible:common	
collectible/npc_collectible:common	
generic/generic:painting	
generic/generic:other	
crafting_loot/loot_schematics	
wearables/dynamic_armor_standard	
crafting_loot/simple_kit	
crafting_loot/simple_kit	
crafting_loot/simple_kit	
specific_npc/tusken:tusken_low	
specific_npc/tusken:tusken_low	
specific_npc/tusken:tusken_low	
specific_npc/tusken:tusken_low	
specific_npc/tusken:tusken_low	
