spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	animation_mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	f	s	s	s	i	s	s	s	s	s	s
newbie_pilot_informer		foyer4	1.1	0.6	66.3	33			explain	300						
nexus_travel_01		arrivals1	49.2	0.6	47.3	-93			npc_sitting_chair	300						
object/tangible/collection/col_jalopy_crate_04.iff		foyer4	-11.9	0.6	50.8	55										
object/tangible/spawning/spawn_egg.iff		arrivals1	37.3	0.6	40.9	-160	city.interior_2_convo									
object/tangible/spawning/spawn_egg.iff		foyer4	-6.7	0.6	65.7	30	city.interior_2_convo									
object/tangible/spawning/spawn_egg.iff		foyer1	7.2	0.6	75.5	179	city.interior_2_convo									
stardust_info		arrivals1	50	0.6	47.5	-93										
vendor_jawa2		arrivals1	57	-0.5	35	-80										
rebel_recruiter		world	-132	28	-4719	135				300	int:ai.defaultCalmBehavior=1					
imperial_recruiter		world	-133	28	-4726	70				300	int:ai.defaultCalmBehavior=1					
stardust_mod		world	-260	28	-4804	33				300						
clone_relics_leia		world	-209	28	-4353	33				300						
stardust_politician		world	-203	28	-4348	33				300						
object/tangible/terminal/terminal_stardust_vote.iff		world	-210	28	-4349	0										
stardust_rebel_ace		departures1	-55.7	2.64	44.865	-55										
heroic_sd_intro_neutral		departures1	-57.7	2.64	46	135										
heroic_sd_intro_rebel		departures1	-48	2.64	40	-40										
stardust_imperial_ace		world	-220	28	-4352	33				300						
stardust_neutral_ace		departures1	-53	2.64	42	-55										
