vehicle_name	allowed_zones	default_hp	default_armor	faction	driver_default_attack	gunner_default_attack	driver_special_list	gunner_special_list	driver_buff
s[unique]	s[all]	i[10000]	i[3000]	s[none]	s[none]	s[none]	s[none]	s[none]	s[none]
hoth_at_st.iff		650000	15000		hoth_scout_cannon	hoth_scout_ear_gun		hoth_scout_ear_gun_switch,hoth_scout_rocket_switch	
snowspeeder.iff		600000	10000		hoth_speeder_bolt		hoth_speeder_up,hoth_speeder_down,hoth_speeder_takeoff,hoth_speeder_land		
walker_at_st.iff		15000	15000		hoth_scout_cannon	hoth_scout_ear_gun		hoth_scout_ear_gun_switch,hoth_scout_rocket_switch	
walker_at_xt.iff		15000	15000		hoth_scout_cannon	hoth_scout_ear_gun		hoth_scout_ear_gun_switch,hoth_scout_rocket_switch	
speederbike.iff		10000	15000		hoth_scout_cannon				
tcg_at_pt_walker.iff		10000	15000		hoth_scout_cannon				
tcg_republic_gunship.iff		15000	15000		hoth_scout_cannon	hoth_scout_ear_gun	hoth_speeder_up,hoth_speeder_down,hoth_speeder_takeoff,hoth_speeder_land	hoth_scout_ear_gun_switch,hoth_scout_rocket_switch	
basilisk_war_droid.iff		15000	15000		hoth_scout_cannon		hoth_speeder_up,hoth_speeder_down,hoth_speeder_takeoff,hoth_speeder_land		
tie_fighter.iff		15000	15000		hoth_speeder_bolt		hoth_speeder_up,hoth_speeder_down,hoth_speeder_takeoff,hoth_speeder_land		
