NAME	CATEGORY	AFFECTS	MAX_TIMES_APPLIED	COST	AFFECT_AMOUNT	REQUIRED_EXPERTISE
s	s	s	i	i	i	s
strength	attributes	strength_modified	10	1	30	
constitution	attributes	constitution_modified	10	1	30	
stamina	attributes	stamina_modified	10	1	30	
precision	attributes	precision_modified	10	1	30	
agility	attributes	agility_modified	10	1	30	
luck	attributes	luck_modified	10	1	30	
camouflage	attributes	camouflage	10	1	30	
detect_hidden	attributes	detect_hidden	10	1	30	
kinetic	resistances	expertise_innate_protection_kinetic	5	1	750	
energy	resistances	expertise_innate_protection_energy	5	1	750	
elemental	resistances	elemental_resistance	5	1	750	
crafting	trade	food_assembly	5	1	2	
crafting_success	trade	crafting_critical_success_bonus	5	1	2	
expertise_reverse_engineering_bonus	trade	expertise_reverse_engineering_bonus	5	1	2	
factory_speed	trade	factory_speed	5	1	5	
expertise_bm_incubation_time	trade	expertise_bm_incubation_time	5	1	5	
bm_mutation_chance_increase	trade	bm_mutation_chance_increase	5	1	5	
hand_sampling	trade	expertise_resource_sampling_increase	5	1	10	
harvest_faire	trade	expertise_harvester_collection_increase	5	1	10	
creature_harvesting	trade	creature_harvesting	5	1	10	
expertise_bm_dna_harvesting_1	trade	expertise_bm_dna_harvesting_1	5	1	5	
critical_hit	combat	expertise_critical_niche_all	5	1	2	
critical_hit_defense	combat	expertise_critical_hit_reduction	5	1	2	
dodge	combat	expertise_glancing_blow_all	5	1	2	
action_cost_reduction	combat	expertise_action_all	5	1	2	
healer	combat	expertise_healing_all	5	1	3	
reactive_second_chance	combat	reactive_second_chance	5	1	5	
healing	combat	expertise_dot_absorption_all	5	1	2	
reactive_go_with_the_flow	misc	movement_speed	5	1	5	
flush_with_success	misc	flush_with_success	5	1	100	
bm_beast_xp_buff	misc	bm_beast_xp_buff	5	1	100	
pilot_special_tactics	misc	pilot_special_tactics	5	1	1	
