ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	i	i	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	s	s
quest.task.ground.comm_player			0			0	1			0							1		1	0	tatooine	0	0	0																																																											@quest/ground/stardust_arena_light:task01_comm_message_text	object/mobile/luke_skywalker.iff
quest.task.ground.timer	@quest/ground/stardust_arena_light:task00_journal_entry_title	@quest/ground/stardust_arena_light:task00_journal_entry_description	1			0	2			0							1		1	0	tatooine	0	0	0															120	130																																												
quest.task.ground.encounter	@quest/ground/stardust_arena_light:task01_journal_entry_title	@quest/ground/stardust_arena_light:task01_journal_entry_description	1			0	3			1							1		1	0	tatooine	0	0	0					0												rtp_luke_force_ghost	1	2	8	2	2																																						
quest.task.ground.timer	@quest/ground/stardust_arena_light:task02_journal_entry_title	@quest/ground/stardust_arena_light:task02_journal_entry_description	1			0	4			0							1		1	0	tatooine	0	0	0															30	60																																												
quest.task.ground.encounter	@quest/ground/stardust_arena_light:task03_journal_entry_title	@quest/ground/stardust_arena_light:task03_journal_entry_description	1			0	5			1							1		1	0	tatooine	0	0	0					0												rtp_luke_force_ghost	1	2	8	2	2																																						
quest.task.ground.timer	@quest/ground/stardust_arena_light:task04_journal_entry_title	@quest/ground/stardust_arena_light:task04_journal_entry_description	1			0	6			0							1		1	0	tatooine	0	0	0															30	60																																												
quest.task.ground.encounter	@quest/ground/stardust_arena_light:task05_journal_entry_title	@quest/ground/stardust_arena_light:task05_journal_entry_description	1			0	7			1							1		1	0	tatooine	0	0	0					0												kyle_katarn	1	2	8	2	2																																						
quest.task.ground.timer	@quest/ground/stardust_arena_light:task13_journal_entry_title	@quest/ground/stardust_arena_light:task13_journal_entry_description	1			0	8			0							1		1	0	tatooine	0	0	0															3590	3600																																												
quest.task.ground.complete_quest			0			0				0							1		1	0	tatooine	0	0	0																																																												
