ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_OBJECT_TEMPLATE	COUNT	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	ITEM_TO_GIVE	NUM_TO_GIVE	CREATE_ITEM	DESTROY_ITEM	REMAINING_TIME	FAIL_ON_LOGOUT	TRAVEL_BLOCK	TRAVEL_BLOCK_ALLOW_LAUNCH	TEXT_TYPE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	i	s	b	s	s	s	s	f	f	f	s	i	b	b	i	b	b	b	e(give=0,deliver=1)[give]
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task00_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task00_journal_entry_description	1			0	1		craftArmor	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_helmet.iff	1	0																		
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task01_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task01_journal_entry_description	1			0	2		craftArmor2	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_chest_plate.iff	1	0																		
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task02_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task02_journal_entry_description	1			0	3		craftArmor3	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_bicep_l.iff	1	0																		
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task03_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task03_journal_entry_description	1			0	4		craftArmor4	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_bicep_r.iff	1	0																		
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task04_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task04_journal_entry_description	1			0	5		craftArmor5	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_bracer_l.iff	1	0																		
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task05_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task05_journal_entry_description	1			0	6		craftArmor6	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_bracer_r.iff	1	0																		
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task06_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task06_journal_entry_description	1			0	7		craftArmor7	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_leggings.iff	1	0																		
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task07_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task07_journal_entry_description	1			0	8		craftArmor8	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_gloves.iff	1	0																		
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task08_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task08_journal_entry_description	1			0	9		craftArmor9	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_boots.iff	1	0																		
quest.task.ground.craft	@quest/ground/stardust_gcw_construction_armor_republic:task09_journal_entry_title	@quest/ground/stardust_gcw_construction_armor_republic:task09_journal_entry_description	1			0	10		craftArmor10	1				0	none	none				1		1			0	tatooine	0	0	0				0	0	0	0		object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_belt.iff	1	0																		
