ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	i	i	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1			0							1		1	0	tatooine	0	0	0																																																										
quest.task.ground.go_to_location	@quest/ground/gcw_rebel_command_post:task01_journal_entry_title	@quest/ground/gcw_rebel_command_post:task01_journal_entry_description	1			0	2,5,8,11		secureCommandPostRebel	1	sound/mus_trandoshan_quest_accept.snd						1		1	0	yavin4	-2986	128	-2966				25	0	startImperialAttack																																																				
quest.task.ground.timer			0			0	3			0							1		1	0	tatooine	0	0	0															90	95																																										
quest.task.ground.encounter	@quest/ground/gcw_rebel_command_post:task04_journal_entry_title	@quest/ground/gcw_rebel_command_post:task04_journal_entry_description	1			0		4	impWaveThree	1							1		1	0	tatooine	0	0	0					0												gcw_base_stormtrooper	8	10	25	0	0																																				
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0	0	0																																																										
quest.task.ground.timer			0			0	6			0							1		1	0	tatooine	0	0	0															60	65																																										
quest.task.ground.encounter	@quest/ground/gcw_rebel_command_post:task07_journal_entry_title	@quest/ground/gcw_rebel_command_post:task07_journal_entry_description	1			0		7	impWaveTwo	1							1		1	0	tatooine	0	0	0					0												gcw_base_stormtrooper	7	10	25	0	0																																				
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0	0	0																																																										
quest.task.ground.timer			0			0	9			0							1		1	0	tatooine	0	0	0															30	35																																										
quest.task.ground.encounter	@quest/ground/gcw_rebel_command_post:task10_journal_entry_title	@quest/ground/gcw_rebel_command_post:task10_journal_entry_description	1			0		10	impWaveOne	1							1		1	0	tatooine	0	0	0					0												gcw_base_stormtrooper	5	10	25	0	0																																				
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0	0	0																																																										
quest.task.ground.wait_for_tasks	@quest/ground/gcw_rebel_command_post:task12_journal_entry_title	@quest/ground/gcw_rebel_command_post:task12_journal_entry_description	1			0	12			1							1		1	0	tatooine	0	0	0					0																		quest/gcw_rebel_command_post	impWaveOne	@quest/ground/gcw_rebel_command_post:task11_task_display_string_1	quest/gcw_rebel_command_post	impWaveTwo	@quest/ground/gcw_rebel_command_post:task11_task_display_string_2	quest/gcw_rebel_command_post	impWaveThree	@quest/ground/gcw_rebel_command_post:task11_task_display_string_3																											
quest.task.ground.wait_for_signal	@quest/ground/gcw_rebel_command_post:task13_journal_entry_title	@quest/ground/gcw_rebel_command_post:task13_journal_entry_description	1			0	13		returnHoldo	1		sound/mus_trandoshan_quest_sucess.snd					1		1	0	tatooine	0	0	0					0	returnedHoldo	0			0		0	0	0																																												
quest.task.ground.reward	@quest/ground/gcw_rebel_command_post:task14_journal_entry_title		0			0	14			1							1		1	0	tatooine	0	0	0																		1																								0	Rebel	0	1000													
quest.task.ground.complete_quest			0			0				0							1		1	0	tatooine	0	0	0																																																										
