ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	s	s	i	i	i	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.comm_player			0			1	1,2,3,4,5,6,7,8,9,10,11,12,13,14			0	sound/mus_mustafar_quest_exception.snd						1		1	0	tatooine	0	0	0				@quest/ground/stardust_jedi_kill:task0_comm_message_text	object/mobile/dressed_imperial_restuss_trooper_leader.iff																								
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task01_journal_entry_title	@quest/ground/stardust_jedi_kill:task01_journal_entry_description	1			0	15			1							1		1	0	tatooine	0	0	0							death_watch		1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task02_journal_entry_title	@quest/ground/stardust_jedi_kill:task02_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						nightsister_elder			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task03_journal_entry_title	@quest/ground/stardust_jedi_kill:task03_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						heroic_axkva_axkva_min			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task04_journal_entry_title	@quest/ground/stardust_jedi_kill:task04_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						heroic_tusken_king			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task05_journal_entry_title	@quest/ground/stardust_jedi_kill:task05_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						stardust_general_binks			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task06_journal_entry_title	@quest/ground/stardust_jedi_kill:task06_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						lord_nyax			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task07_journal_entry_title	@quest/ground/stardust_jedi_kill:task07_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						heroic_ig88_ig88_rocket			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task08_journal_entry_title	@quest/ground/stardust_jedi_kill:task08_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						ep3_general_grievous			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task09_journal_entry_title	@quest/ground/stardust_jedi_kill:task09_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						som_volcano_final_hk47			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task10_journal_entry_title	@quest/ground/stardust_jedi_kill:task10_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						ep3_slaver_blackscale_warden_tosk			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task11_journal_entry_title	@quest/ground/stardust_jedi_kill:task11_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						ep3_avatar_harwakokok_mighty			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task12_journal_entry_title	@quest/ground/stardust_jedi_kill:task12_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						heroic_exar_kun			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task13_journal_entry_title	@quest/ground/stardust_jedi_kill:task13_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						som_storm_lord			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_jedi_kill:task14_journal_entry_title	@quest/ground/stardust_jedi_kill:task14_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						heroic_sd_captain_sait			1	0	0																		
quest.task.ground.complete_quest			0			1				1		sound/mus_mustafar_quest_success.snd					1		1	0	tatooine	0	0	0																													
