ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	s	s	i	i	i	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.comm_player			0			1	1,2,3,4,5,6,7,8,9,10,11,12,13,14			0	sound/mus_mustafar_quest_exception.snd						1		1	0	tatooine	0	0	0				@quest/ground/stardust_mando_crest:task0_comm_message_text	object/mobile/boba_fett.iff																								
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task01_journal_entry_title	@quest/ground/stardust_mando_crest:task01_journal_entry_description	1			0	15			1							1		1	0	tatooine	0	0	0							unstable_reek		1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task02_journal_entry_title	@quest/ground/stardust_mando_crest:task02_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0							unstable_nexu		1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task03_journal_entry_title	@quest/ground/stardust_mando_crest:task03_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0							dark_jedi		1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task04_journal_entry_title	@quest/ground/stardust_mando_crest:task04_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0							fs_villager		1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task05_journal_entry_title	@quest/ground/stardust_mando_crest:task05_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0							sith_shadow		1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task06_journal_entry_title	@quest/ground/stardust_mando_crest:task06_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0							bounty_target		1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task07_journal_entry_title	@quest/ground/stardust_mando_crest:task07_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						krayt_dragon_ancient			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task08_journal_entry_title	@quest/ground/stardust_mando_crest:task08_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						peko_peko_albatross_high			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task09_journal_entry_title	@quest/ground/stardust_mando_crest:task09_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						geonosian_acklay_bunker_boss			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task10_journal_entry_title	@quest/ground/stardust_mando_crest:task10_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						borvos_acklay			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task11_journal_entry_title	@quest/ground/stardust_mando_crest:task11_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						menagerie_acklay			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task12_journal_entry_title	@quest/ground/stardust_mando_crest:task12_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						gorax			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task13_journal_entry_title	@quest/ground/stardust_mando_crest:task13_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						ep3_rryatt_katarn			1	0	0																		
quest.task.ground.destroy_multi	@quest/ground/stardust_mando_crest:task14_journal_entry_title	@quest/ground/stardust_mando_crest:task14_journal_entry_description	0			0	15			1							1		1	0	tatooine	0	0	0						ep3_hracca_kkorrwrot			1	0	0																		
quest.task.ground.complete_quest						1				1		sound/mus_mustafar_quest_success.snd					1		1	0	tatooine	0	0	0																													
