ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	i	i	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1			0							1		1	0	tatooine	0	0	0																																																										
quest.task.ground.go_to_location	@quest/ground/quest/valarian_raid:task01_journal_entry_title	@quest/ground/valarian_raid:task01_journal_entry_description	1			0	2,5,8,11		valarianRaid	1	sound/mus_trandoshan_quest_accept.snd						1		1	0	tatooine	-5872	90	-6205				25	0	startJabbaAttack																																																				
quest.task.ground.timer			0			0	3			0							1		1	0	tatooine	0	0	0															70	75																																										
quest.task.ground.encounter	@quest/ground/valarian_raid:task04_journal_entry_title	@quest/ground/valarian_raid:task04_journal_entry_description	1			0		4	jabbaWaveThree	1							1		1	0	tatooine	0	0	0					0												ep3_avatar_harwakokok_mighty	1	10	25	0	0																																				
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0	0	0																																																										
quest.task.ground.timer			0			0	6			0							1		1	0	tatooine	0	0	0															40	45																																										
quest.task.ground.encounter	@quest/ground/valarian_raid:task07_journal_entry_title	@quest/ground/valarian_raid:task07_journal_entry_description	1			0		7	jabbaWaveTwo	1							1		1	0	tatooine	0	0	0					0												elite_jabba_enforcer	5	10	25	0	0																																				
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0	0	0																																																										
quest.task.ground.timer			0			0	9			0							1		1	0	tatooine	0	0	0															10	15																																										
quest.task.ground.encounter	@quest/ground/valarian_raid:task10_journal_entry_title	@quest/ground/valarian_raid:task10_journal_entry_description	1			0		10	jabbaWaveOne	1							1		1	0	tatooine	0	0	0					0												azure_cabal_jabba_brute	6	10	25	0	0																																				
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0	0	0																																																										
quest.task.ground.wait_for_tasks	@quest/ground/valarian_raid:task12_journal_entry_title	@quest/ground/valarian_raid:task12_journal_entry_description	1			0	12			1							1		1	0	tatooine	0	0	0					0																		quest/valarian_raid	jabbaWaveOne	@quest/ground/quest/valarian_raid:task11_task_display_string_1	quest/valarian_raid	jabbaWaveTwo	@quest/ground/quest/valarian_raid:task11_task_display_string_2	quest/valarian_raid	jabbaWaveThree	@quest/ground/quest/valarian_raid:task11_task_display_string_3																											
quest.task.ground.wait_for_signal	@quest/ground/valarian_raid:task13_journal_entry_title	@quest/ground/valarian_raid:task13_journal_entry_description	1			0	13		returntojquille	1		sound/mus_trandoshan_quest_sucess.snd					1		1	0	tatooine	0	0	0					0	returnedjquille	0			0		0	0	0																																												
quest.task.ground.reward	@quest/ground/valarian_raid:task14_journal_entry_title		0			0	14			1							1		1	0	tatooine	0	0	0																		1																								0	Rebel	0	1000													
quest.task.ground.complete_quest			0			0				0							1		1	0	tatooine	0	0	0																																																										
