NAME	LIMIT
s	i
apprenticeship	1240
crafting_bio_engineer_creature	200000
bio_engineer_dna_harvesting	200000
bountyhunter	200000
camp	200000
combat_general	200000
combat_meleespecialize_onehandlightsaber	200000
combat_meleespecialize_twohandlightsaber	200000
combat_meleespecialize_polearmlightsaber	200000
jedi_general	200000
combat_meleespecialize_onehand	200000
combat_meleespecialize_polearm	200000
combat_meleespecialize_twohand	200000
combat_meleespecialize_unarmed	200000
combat_rangedspecialize_carbine	200000
combat_rangedspecialize_pistol	200000
combat_rangedspecialize_rifle	200000
crafting_clothing_armor	200000
crafting_clothing_general	200000
crafting_droid_general	200000
crafting_food_general	200000
crafting_general	200000
crafting_medicine_general	200000
crafting_spice	200000
crafting_structure_general	200000
crafting_weapons_general	200000
creaturehandler	250000
dance	200000
entertainer_healing	200000
entertainer	200000
imagedesigner	200000
jedi	200000
medical	200000
merchant	200000
music	200000
resource_harvesting_inorganic	200000
scout	200000
slicing	200000
squadleader	500000
trapping	200000
combat_rangedspecialize_heavy	300000
political	200000
force_rank_xp	625000
fs_combat	5100000
fs_crafting	5100000
fs_senses	5100000
fs_reflex	5100000
shipwright	200000
space_combat_general	200000
